"uuid";"sendervat";"sendername";"recipientvat";"recipientname";"documentid";"issuedate";"receiveddate"
"e3cb3230-0582-4226-9925-bd9987883b73";"IT00155400351";"CDD S.P.A.";"IT03801550165";"SUPERMERCATO COMETA SNC DI ZAPPELLA DOMENICO ANGELO & C.";"00383/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:32"
"e3d0176d-1b56-4f60-916e-da0dd03061d1";"IT00155400351";"CDD S.P.A.";"IT02896940273";"IN'S MERCATO S.P.A.";"00686/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:33"
"e3d0212a-d0e9-48ff-994a-03fbcbb9e755";"IT00155400351";"CDD S.P.A.";"IT00986900793";"AZ S.P.A.";"00569/V1";"2019-01-31 00:00:00";"2019-02-04 18:07:21"
"e3fb944e-ed55-4c85-b100-9a6f0d0968b7";"IT00155400351";"CDD S.P.A.";"ITMGNRRT72C45H223U";"MAGNANI ROBERTA (DIPENDENTE)";"00019/V4";"2019-01-24 00:00:00";"2019-01-29 11:53:42"
"e44c38cc-51a3-489f-8f6c-db5267ab97af";"IT00155400351";"CDD S.P.A.";"IT02795150362";"CENTRALE ADRIATICA SOC.COOP.";"00240/V1";"2019-01-19 00:00:00";"2019-01-22 08:48:15"
"e487f933-610a-413f-bc46-83f01f857ad3";"IT00155400351";"CDD S.P.A.";"IT05466731006";"RISPARMIO CASA INVEST S.R.L.";"00510/V1";"2019-01-31 00:00:00";"2019-02-01 17:55:09"
"e494ecdb-0888-462c-8c55-a8d31bdef389";"IT00155400351";"CDD S.P.A.";"IT04117520967";"COOP CONSORZIO NORD OVEST SOC.CONS. A R.L.";"00725/V1";"2019-02-09 00:00:00";"2019-02-15 11:47:47"
"e51be833-87cf-4b44-ac4b-fc163f937320";"IT00155400351";"CDD S.P.A.";"IT04259850164";"GIANK SRL";"00167/V1";"2019-01-12 00:00:00";"2019-01-15 17:28:07"
"e553d5d9-2aa0-47ca-b38f-9878155ee188";"IT00155400351";"CDD S.P.A.";"IT01885280352";"F. & B. SERVICE S.R.L.";"07554/V1";"2018-12-31 00:00:00";"2019-01-14 18:10:03"
"e5607011-a338-447b-a789-91f63a487e3f";"IT00155400351";"CDD S.P.A.";"IT00542090238";"MAXI DI S.R.L.";"00341/V1";"2019-01-26 00:00:00";"2019-01-29 11:52:33"
